"host_id","host_url","host_name","num_of_dirty_reviews"
237616777,"https://www.airbnb.com/users/show/237616777","Umut Özgün",21
463019242,"https://www.airbnb.com/users/show/463019242","Ugur",18
14214082,"https://www.airbnb.com/users/show/14214082","İlkay",14
262448250,"https://www.airbnb.com/users/show/262448250","Babel",14
21907588,"https://www.airbnb.com/users/show/21907588","Zeynep",14
2999837,"https://www.airbnb.com/users/show/2999837","Saban",13
21636586,"https://www.airbnb.com/users/show/21636586","VNG Property",13
390154,"https://www.airbnb.com/users/show/390154","Taner",13
354365082,"https://www.airbnb.com/users/show/354365082","G-Residences",13
4164658,"https://www.airbnb.com/users/show/4164658","Garen",11
9514105,"https://www.airbnb.com/users/show/9514105","Volkan",11
143875760,"https://www.airbnb.com/users/show/143875760","Tala",11
14875223,"https://www.airbnb.com/users/show/14875223","Murat",10
19798022,"https://www.airbnb.com/users/show/19798022","Wonder",10
8602558,"https://www.airbnb.com/users/show/8602558","Yaşar",10
13528987,"https://www.airbnb.com/users/show/13528987","Evrim",10
85893416,"https://www.airbnb.com/users/show/85893416","Parvin",10
11635163,"https://www.airbnb.com/users/show/11635163","Güner-Berivan",10
67359125,"https://www.airbnb.com/users/show/67359125","Eminönü",9
8543072,"https://www.airbnb.com/users/show/8543072","Akif",9
14787694,"https://www.airbnb.com/users/show/14787694","Fatih",9
26618301,"https://www.airbnb.com/users/show/26618301","BeyazıtHan Suites",9
96460850,"https://www.airbnb.com/users/show/96460850","Tevfik",8
3257050,"https://www.airbnb.com/users/show/3257050","Tolga",8
376581701,"https://www.airbnb.com/users/show/376581701","Nusrettin",8
238218730,"https://www.airbnb.com/users/show/238218730","Haus Suites",8
425495212,"https://www.airbnb.com/users/show/425495212","Musk",8
78456848,"https://www.airbnb.com/users/show/78456848","Bahram",8
4172454,"https://www.airbnb.com/users/show/4172454","Safa",8
17975030,"https://www.airbnb.com/users/show/17975030","Hikmet",7
50274213,"https://www.airbnb.com/users/show/50274213","Yusuf",7
100622919,"https://www.airbnb.com/users/show/100622919","Hilal",7
6440444,"https://www.airbnb.com/users/show/6440444","Oytun",7
266904815,"https://www.airbnb.com/users/show/266904815","Ayhan",7
76368690,"https://www.airbnb.com/users/show/76368690","İlkan",7
1605466,"https://www.airbnb.com/users/show/1605466","Kerem",6
792658,"https://www.airbnb.com/users/show/792658","ISlK",6
52534990,"https://www.airbnb.com/users/show/52534990","You",6
117005937,"https://www.airbnb.com/users/show/117005937","Kübra",6
29568076,"https://www.airbnb.com/users/show/29568076","Antonio",6
33186190,"https://www.airbnb.com/users/show/33186190","Ferid",6
43756225,"https://www.airbnb.com/users/show/43756225","Fırat",6
276167461,"https://www.airbnb.com/users/show/276167461","Kaan",6
128656719,"https://www.airbnb.com/users/show/128656719","Deniz",5
281670956,"https://www.airbnb.com/users/show/281670956","Selim",5
378460292,"https://www.airbnb.com/users/show/378460292","Kadir",5
34334297,"https://www.airbnb.com/users/show/34334297","Ertan",5
13858046,"https://www.airbnb.com/users/show/13858046","Mersin",5
200191206,"https://www.airbnb.com/users/show/200191206","Sedat",5
243832588,"https://www.airbnb.com/users/show/243832588","Mert",5
262552183,"https://www.airbnb.com/users/show/262552183","Meso",5
103713067,"https://www.airbnb.com/users/show/103713067","Recep Tunahan",5
6540040,"https://www.airbnb.com/users/show/6540040","Barbaros",5
21594386,"https://www.airbnb.com/users/show/21594386","Kürşad",5
261008756,"https://www.airbnb.com/users/show/261008756","Ufuk",5
1734426,"https://www.airbnb.com/users/show/1734426","Lino And Gioia",5
20080579,"https://www.airbnb.com/users/show/20080579","Eddie",5
44695496,"https://www.airbnb.com/users/show/44695496","Berna Melih Verda",5
467799744,"https://www.airbnb.com/users/show/467799744","Onur",5
8519024,"https://www.airbnb.com/users/show/8519024","Mert",5
371128956,"https://www.airbnb.com/users/show/371128956","Ali",5
183337842,"https://www.airbnb.com/users/show/183337842","Kaan",5
316505891,"https://www.airbnb.com/users/show/316505891","Dream Houses",5
239142602,"https://www.airbnb.com/users/show/239142602","Oğuz Emre",5
149915983,"https://www.airbnb.com/users/show/149915983","Mücahid",5
407409937,"https://www.airbnb.com/users/show/407409937","Zafer",5
11120250,"https://www.airbnb.com/users/show/11120250","Amida HOUSE",4
377729964,"https://www.airbnb.com/users/show/377729964","Emre",4
229048031,"https://www.airbnb.com/users/show/229048031","Ilhan",4
226487677,"https://www.airbnb.com/users/show/226487677","Engin",4
380939422,"https://www.airbnb.com/users/show/380939422","Burçak",4
223002612,"https://www.airbnb.com/users/show/223002612","James",4
45925031,"https://www.airbnb.com/users/show/45925031","Fehmi",4
46026691,"https://www.airbnb.com/users/show/46026691","Eyp",4
189516806,"https://www.airbnb.com/users/show/189516806","Meroddi Pera",4
17768502,"https://www.airbnb.com/users/show/17768502","Mia",4
196309011,"https://www.airbnb.com/users/show/196309011","Seda",4
